generation	repeats	mean	best	mutation rate
729	400	6,519	17,342	0,10000
730	403	6,503	17,908	0,10000
731	400	6,501	20,057	0,10000
732	403	6,553	22,133	0,10000
733	400	6,497	18,166	0,10000
734	402	6,505	17,547	0,10000
735	405	6,493	18,314	0,10000
736	402	6,487	20,093	0,10000
737	400	6,514	19,943	0,10000
738	402	6,498	18,992	0,10000
739	401	6,466	17,792	0,10000
740	402	6,435	18,447	0,10000
741	401	6,451	18,427	0,10000
742	403	6,472	17,831	0,10000
743	403	6,440	17,596	0,10000
744	403	6,415	19,797	0,10000
745	403	6,490	18,911	0,10000
746	402	6,465	19,164	0,10000
747	401	6,499	19,092	0,10000
748	401	6,533	18,956	0,10000
749	402	6,486	16,765	0,10000
750	402	6,480	20,453	0,10000
751	402	6,504	19,066	0,10000
752	401	6,553	18,952	0,10000
753	401	6,573	20,033	0,10000
754	403	6,546	20,417	0,10000
755	405	6,528	19,456	0,10000
756	402	6,555	18,213	0,10000
757	401	6,540	18,062	0,10000
758	405	6,559	19,788	0,10000
759	401	6,530	20,835	0,10000
760	400	6,563	20,127	0,10000
761	401	6,519	19,881	0,10000
762	400	6,503	19,769	0,10000
763	400	6,515	19,283	0,10000
764	402	6,531	21,675	0,10000
765	404	6,540	21,688	0,10000
766	403	6,538	19,900	0,10000
767	401	6,551	19,188	0,10000
768	400	6,557	20,768	0,10000
769	400	6,551	21,779	0,10000
770	401	6,481	17,560	0,10000
771	401	6,514	19,986	0,10000
772	401	6,523	22,981	0,10000
773	402	6,536	21,164	0,10000
774	402	6,516	22,282	0,10000
775	400	6,529	20,159	0,10000
776	403	6,530	21,836	0,10000
777	403	6,527	17,944	0,10000
778	402	6,534	18,791	0,10000
779	403	6,562	20,302	0,10000
780	401	6,546	19,658	0,10000
781	400	6,557	18,876	0,10000
782	402	6,565	19,921	0,10000
783	402	6,546	17,649	0,10000
784	401	6,547	18,662	0,10000
785	402	6,534	20,918	0,10000
786	400	6,553	20,644	0,10000
787	403	6,602	19,827	0,10000
